,Words,Frequency
1431,di,243
1432,ventet,242
1433,frit,242
1434,skib,241
1435,vinteren,241
1436,sådan,241
1437,spurte,241
1438,regn,241
1439,blevne,240
1440,fyldt,240
1441,brændte,240
1442,robert,240
1443,konen,240
1444,billeder,240
1445,kaptajnen,240
1446,rigtigt,240
1447,lyste,239
1448,kreds,239
1449,landets,239
1450,kaldes,239
1451,berner,239
1452,sønnen,239
1453,davids,238
1454,frankrig,238
1455,underligt,238
1456,vei,238
1457,haver,238
1458,konger,238
1459,komne,237
1460,samlet,237
1461,tænder,237
1462,panden,237
1463,stødte,237
1464,varede,237
1465,høit,237
1466,plantes,237
1467,omsider,237
1468,josua,236
1469,navnet,236
1470,derhen,236
1471,faste,236
1472,yderste,236
1473,salomo,235
1474,hænger,235
1475,duborg,235
1476,nærmeste,235
1477,minde,235
1478,terndrup,234
1479,lærte,234
1480,smerte,234
1481,lyttede,234
1482,hvoraf,234
1483,storm,234
1484,forrige,234
1485,hjalp,234
1486,skade,234
1487,julie,234
1488,hilste,233
1489,visdom,233
1490,annie,233
1491,stolen,233
1492,ilde,233
1493,trang,232
1494,samt,232
1495,adskillige,232
1496,opdagede,232
1497,no,232
1498,moderne,231
1499,brystet,231
1500,vold,231
1501,fremdeles,230
1502,vejr,230
1503,forekom,230
1504,trænger,230
1505,gave,230
1506,pagt,229
1507,bjørnstad,229
1508,navne,229
1509,mindst,229
1510,kastet,229
1511,grev,229
1512,vinter,228
1513,ophold,228
1514,slå,228
1515,salme,228
1516,forsøg,228
1517,blanke,228
1518,dillingham,228
1519,hertil,227
1520,overhovedet,227
1521,hund,227
1522,reise,227
1523,oven,227
1524,effter,227
1525,samle,226
1526,rene,226
1527,bløde,226
1528,føde,226
1529,røg,226
1530,aars,225
1531,baaden,225
1532,gærne,225
1533,råbte,225
1534,stolt,225
1535,stammer,225
1536,bestemte,225
1537,kjesten,224
1538,floden,224
1539,vind,224
1540,vilje,224
1541,fortalt,224
1542,levet,224
1543,faldet,224
1544,afsked,224
1545,evige,224
1546,hid,224
1547,lady,223
1548,vandrede,223
1549,tændte,223
1550,ethvert,223
1551,snes,223
1552,fint,223
1553,skole,223
1554,nytte,222
1555,hjertet,222
1556,bagefter,222
1557,tom,221
1558,suk,221
1559,friske,221
1560,hvidt,221
1561,pladsen,220
1562,kaffe,220
1563,skjulte,220
1564,fransk,220
1565,elske,220
1566,kroner,220
1567,jeremias,220
1568,stillet,220
1569,bygge,219
1570,slægter,219
1571,udmærket,219
1572,indenfor,219
1573,bevægede,218
1574,ligner,218
1575,tung,217
1576,stormen,217
1577,fuldkommen,217
1578,ens,217
1579,herfra,217
1580,skyndte,217
1581,andersen,216
1582,skjult,216
1583,duft,216
1584,des,216
1585,derover,216
1586,rækker,216
1587,erklærede,216
1588,halvor,215
1589,vidne,215
1590,graad,215
1591,bjerge,215
1592,sjælen,215
1593,loven,214
1594,grunde,214
1595,franz,214
1596,bemærkede,214
1597,flade,214
1598,mangen,214
1599,allesammen,214
1600,rigdom,214
1601,tabt,214
1602,fjenden,213
1603,skud,213
1604,nåde,213
1605,skulder,213
1606,svært,213
1607,marts,212
1608,besked,212
1609,løber,212
1610,hoff,212
1611,yngre,211
1612,hvo,211
1613,pegede,211
1614,fortæller,211
1615,straalende,211
1616,avlede,211
1617,hær,210
1618,strøm,210
1619,sove,210
1620,ska,210
1621,josef,210
1622,varm,210
1623,nr,210
1624,svagt,209
1625,vandrer,209
1626,villie,209
1627,forud,209
1628,samuel,209
1629,vinduer,208
1630,varer,208
1631,fattig,208
1632,tilfreds,208
1633,admiral,208
1634,kulde,208
1635,naturen,208
1636,vidnesbyrd,208
1637,fjerde,207
1638,disciple,207
1639,maaned,207
1640,graven,207
1641,anton,207
1642,fin,206
1643,skarpt,206
1644,sygdom,206
1645,enden,206
1646,thomas,206
1647,gribe,206
1648,dockum,206
1649,mørk,206
1650,kongelige,206
1651,skov,206
1652,h,205
1653,længsel,205
1654,familien,205
1655,veien,205
1656,blad,204
1657,skjønne,204
1658,modtage,204
1659,hvortil,204
1660,varmt,204
1661,søde,204
1662,farer,204
1663,løfter,204
1664,dejligt,204
1665,brevet,204
1666,vakte,203
1667,sædvanlige,203
1668,skjønt,203
1669,døre,203
1670,damerne,203
1671,ragna,203
1672,syd,203
1673,vildt,203
1674,takke,203
1675,stole,203
1676,fange,202
1677,jesu,202
1678,kjole,202
1679,kvinden,202
1680,igien,202
1681,alteret,202
1682,engel,202
1683,bagved,202
1684,hastigt,202
1685,mil,202
1686,vanskeligt,201
1687,sofaen,201
