,Words,Frequency
1391,extraordinaire,43
1392,wagon,43
1393,premières,43
1394,noire,43
1395,eurent,43
1396,taille,43
1397,embarras,43
1398,hélas,43
1399,auraient,43
1400,difficulté,43
1401,occupait,43
1402,orsini,43
1403,fatal,43
1404,fidèle,43
1405,entrant,43
1406,poitrine,43
1407,serez,43
1408,ouvriers,43
1409,traversée,42
1410,donnant,42
1411,bonté,42
1412,avocat,42
1413,convenable,42
1414,soyez,42
1415,précepteur,42
1416,tiens,42
1417,portes,42
1418,atroce,42
1419,tels,42
1420,--en,42
1421,camarades,42
1422,libéraux,42
1423,mêmes,42
1424,arbre,42
1425,union,42
1426,passions,42
1427,juges,42
1428,clef,42
1429,monta,42
1430,franēois,42
1431,mine,42
1432,noms,42
1433,york,42
1434,surprise,42
1435,ensemble,42
1436,--un,42
1437,présente,42
1438,geste,42
1439,permission,42
1440,salons,42
1441,montrant,42
1442,duel,42
1443,conscience,42
1444,sentence,42
1445,dirait,42
1446,apercevoir,42
1447,manquer,42
1448,décembre,42
1449,dirai,42
1450,quarts,42
1451,accent,41
1452,portier,41
1453,honorable,41
1454,parvint,41
1455,guère,41
1456,environ,41
1457,poche,41
1458,frais,41
1459,travaux,41
1460,soixante,41
1461,osé,41
1462,résolution,41
1463,comptait,41
1464,devenu,41
1465,traits,41
1466,longs,41
1467,café,41
1468,comble,41
1469,demie,41
1470,riches,41
1471,intime,41
1472,parfait,41
1473,lecteur,41
1474,offre,41
1475,officier,41
1476,chute,40
1477,deuxième,40
1478,césar,40
1479,osait,40
1480,vulgaire,40
1481,robe,40
1482,rentrer,40
1483,immobile,40
1484,descendit,40
1485,ombre,40
1486,braves,40
1487,gaieté,40
1488,religieuses,40
1489,monte,40
1490,douter,40
1491,pointe,40
1492,plupart,40
1493,bleu,40
1494,côme,40
1495,chapeau,40
1496,reine,40
1497,reprendre,40
1498,entrait,40
1499,reconnaître,40
1500,timide,40
1501,arrière,40
1502,sottise,40
1503,rapidité,40
1504,inconnu,40
1505,étranger,40
1506,messe,40
1507,empereur,40
1508,farnèse,40
1509,dangers,40
1510,états-unis,40
1511,évident,40
1512,oiseaux,40
1513,juger,40
1514,changer,40
1515,noblesse,40
1516,venger,40
1517,--mon,40
1518,auberge,40
1519,curieux,40
1520,gardes,40
1521,venaient,40
1522,remettre,39
1523,gagné,39
1524,endroit,39
1525,envoyé,39
1526,élisa,39
1527,empire,39
1528,semaines,39
1529,cri,39
1530,chasse,39
1531,lever,39
1532,permis,39
1533,appris,39
1534,annoncer,39
1535,aurez,39
1536,tient,39
1537,influence,39
1538,pareille,39
1539,permettre,39
1540,tétrarque,39
1541,terreur,39
1542,etats,39
1543,dites,39
1544,épouser,39
1545,bibliothèque,39
1546,journal,39
1547,poignard,39
1548,poli,39
1549,allant,39
1550,europe,39
1551,militaire,39
1552,secours,39
1553,condamné,38
1554,trčs,38
1555,nuits,38
1556,théâtre,38
1557,souriant,38
1558,rendu,38
1559,jambes,38
1560,--comment,38
1561,venez,38
1562,camp,38
1563,gonzo,38
1564,blessé,38
1565,longueur,38
1566,promener,38
1567,décidé,38
1568,voisine,38
1569,propre,38
1570,considérable,38
1571,āme,38
1572,payer,38
1573,ancienne,38
1574,horizon,38
1575,dollars,38
1576,établir,38
1577,juan,38
1578,celles,38
1579,forces,38
1580,--quoi,38
1581,floride,38
1582,appela,38
1583,inutile,38
1584,marchand,38
1585,content,38
1586,vengeance,38
1587,conseil,38
1588,ajouter,37
1589,prudent,37
1590,prononcer,37
1591,crédit,37
1592,politesse,37
1593,qualité,37
1594,prčs,37
1595,libéral,37
1596,occuper,37
1597,impatience,37
1598,réputation,37
1599,resté,37
1600,fiscal,37
1601,--la,37
1602,dos,37
1603,évźque,37
1604,reform-club,37
1605,tenter,37
1606,probablement,37
1607,sut,37
1608,prophète,37
1609,américain,37
1610,plaine,37
1611,cruel,37
1612,rival,37
1613,savant,37
1614,altamira,37
1615,espérer,37
1616,détail,37
1617,avantage,37
1618,bal,37
1619,différence,37
1620,douce,37
1621,couvert,37
1622,rencontrer,37
1623,science,37
1624,aveu,36
1625,destinée,36
1626,tombe,36
1627,rentra,36
1628,superbe,36
1629,accepter,36
1630,adieu,36
1631,changé,36
1632,mémoire,36
1633,langage,36
1634,inquiétude,36
1635,environs,36
1636,villes,36
1637,enlever,36
1638,appelait,36
1639,songé,36
1640,murs,36
1641,certaines,36
1642,pension,36
1643,métier,36
1644,joue,36
1645,opération,36
1646,seuls,36
1647,jure,36
1648,cabinet,36
1649,au-delà,36
1650,offrir,36
1651,capucin,36
1652,songe,36
1653,paraît,36
1654,vaut,36
1655,porté,36
1656,troublé,36
1657,puissant,36
1658,vingt-cinq,36
1659,volonté,36
1660,peut-źtre,36
1661,lignes,36
1662,arrivant,36
1663,faim,36
1664,fleurs,36
1665,saisit,36
1666,américains,36
1667,frappé,36
1668,voudrais,36
1669,régiment,36
1670,forte,36
1671,treize,36
1672,dura,36
1673,pénible,36
1674,ému,36
1675,mongolia,36
1676,quatorze,36
1677,pilote,35
1678,sommeil,35
1679,chercha,35
1680,brigands,35
1681,florence,35
1682,fallut,35
1683,bornes,35
1684,entièrement,35
1685,excès,35
1686,oncle,35
1687,irai,35
1688,sainteté,35
1689,dut,35
1690,adressa,35
1691,commença,35
1692,violence,35
1693,quitte,35
1694,compagnons,35
1695,libre,35
1696,courtisans,35
1697,chagrin,35
1698,magnifiques,35
1699,--a,35
1700,madone,35
1701,forźt,35
1702,ivre,35
1703,courrier,35
1704,montfleury,35
1705,conduit,35
1706,garder,35
1707,fenźtre,35
1708,caylus,35
1709,acte,35
1710,amour-propre,35
1711,liverpool,35
1712,plaire,35
1713,quels,35
1714,entier,35
1715,effort,35
